pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
53.8,-11.6,0,top,C1,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
60.2,-11.6,180,top,C10,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
60.4,-9.8,180,top,C11,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
60.4,-8,180,top,C12,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
70.4,-11.6,0,top,C13,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
70.6,-9.8,0,top,C14,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
70.6,-8,0,top,C15,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
74.4,-11.6,180,top,C16,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
74.2,-9.8,180,top,C17,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
74.2,-8,180,top,C18,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
37.06,-18.419999,180,top,C19,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
53.6,-9.8,0,top,C2,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
19.291333,-17.033365,-45,top,C20,,C_0402_1005Metric,12pF,smt,True
22.194635,-13.95235,-45,top,C21,,C_0402_1005Metric,12pF,smt,True
25.5,-34.55,-45,top,C22,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7uF,smt,True
53.8,-29.2,90,top,C23,,C_0402_1005Metric,100nF,smt,True
60.625,-18.9875,0,top,C24,,C_0402_1005Metric,100nF,smt,True
24.3,-17.4,45,top,C25,,C_0402_1005Metric,100nF,smt,True
31.59,-20.69,45,top,C26,,C_0402_1005Metric,100nF,smt,True
22.51,-31.55,-135,top,C28,,C_0402_1005Metric,100nF,smt,True
53.6,-8,0,top,C3,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
22.7,-18.55,135,top,C30,,C_0402_1005Metric,100nF,smt,True
25.35,-32.5,-45,top,C31,,C_0402_1005Metric,100nF,smt,True
21,-29.15,-135,top,C32,,C_0402_1005Metric,100nF,smt,True
22,-19.25,135,top,C34,,C_0402_1005Metric,100nF,smt,True
30.18,-19.28,45,top,C35,,C_0402_1005Metric,100nF,smt,True
28.2,-17.6,45,top,C36,,C_0402_1005Metric,100nF,smt,True
21.19,-19.87,135,top,C37,,C_0402_1005Metric,100nF,smt,True
31.44,-28.84,-45,top,C38,,C_0402_1005Metric,100nF,smt,True
21.77,-30.79,-135,top,C39,,C_0402_1005Metric,100nF,smt,True
49.8,-11.6,180,top,C4,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
30.88,-20,45,top,C41,,C_0402_1005Metric,100nF,smt,True
30.69,-29.54,-45,top,C42,,C_0402_1005Metric,100nF,smt,True
23.35,-32.1,-135,top,C43,,C_0402_1005Metric,100nF,smt,True
19.45,-28.95,-135,top,C44,,C_0402_1005Metric,100nF,smt,True
28.8,-18.4,45,top,C45,,C_0402_1005Metric,100nF,smt,True
